country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
"Egypt, Arab Rep.",260816315725.83,56.0,4.0,2.0,15.0,10.0,13.0,0.0,0.0,0.0,12.5
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
Estonia,23808677023.3013,36.7,8.3,2.6,15.9,17.5,18.6,0.0,0.4,0.0,24.74
Ethiopia,52347226230.2332,87.6,0.8,1.2,4.4,3.8,2.3,0.0,0.0,0.0,0.0
Finland,252692239709.946,35.88,9.24,1.7,13.13,37.83,1.45,0.0,0.73,0.0,28.12
Fiji,3771168285.9747796,33.2,4.1,1.9,3.5,12.5,7.5,0.1,0.0,37.2,5.45
France,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
Faeroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
"Micronesia, Fed. Sts.",296282643.971121,23.83,7.07,16.73,9.32,13.3,26.17,3.58,0.0,0.0,0.0
Gabon,18912467101.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
Georgia,15189614350.7215,39.0,3.0,5.0,16.0,34.0,3.0,0.0,0.0,0.0,0.0
Ghana,48199090351.9329,67.0,0.0,1.0,25.0,3.0,4.0,0.0,0.0,0.0,0.0
Gibraltar,0.0,24.57,4.42,4.37,14.38,33.65,15.86,0.0,0.0,0.0,0.0
Guinea,9667718426.6828,58.0,1.0,1.0,27.0,9.0,4.0,0.0,0.0,0.0,5.0
"Gambia, The",1084318240.80394,35.0,1.9,2.1,51.4,9.7,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,1062488924.5797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,15045964750.1647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,244480923173.545,40.0,3.0,3.0,9.0,29.0,14.0,2.0,0.0,0.0,19.0
Grenada,931118693.454099,27.1,3.1,2.4,36.5,13.6,16.4,0.9,0.0,0.0,0.0
Greenland,2823634003.6628103,42.8,7.1,2.0,33.4,11.4,2.4,0.0,1.0,0.0,0.0
Guatemala,51421926687.8027,37.7144911834619,4.391835579814286,0.0,18.01847364137028,16.046702153078943,17.290808751009344,0.0,0.0,6.537688691265234,0.0
Guam,5214914976.43925,27.3,4.6,9.0,8.7,28.5,12.4,3.1,6.4,0.0,17.85
Guyana,2925825405.8611197,50.1,4.7,4.2,12.099999999999998,10.7,14.2,1.5,2.5,0.0,0.54
"Hong Kong SAR, China",270105365069.12302,35.0,3.0,2.0,14.0,22.0,21.0,0.0,3.0,0.0,34.0
Honduras,19545909275.2757,57.9,1.27,2.11,6.62,17.36,14.41,0.33,0.0,0.0,0.0
Croatia,61095271083.0161,30.9,3.7,2.1,11.5,23.2,22.9,0.0,0.0,5.7,16.32
Haiti,7911616492.26845,61.3,1.6,2.5,16.800000000000008,4.1,12.7,0.0,1.0,0.0,0.0
Hungary,147182870839.849,22.5,3.5,1.8,45.9,13.4,13.0,0.0,0.0,0.0,25.94
Indonesia,1037863871681.45,53.8,2.5,1.8,12.9,14.9,14.0,0.0,0.0,0.0,7.0
